id,title,year,credit,country,state,city,latitude,longitude
2017710099,"Coral Court Motel, Marlborough, Missouri",1988.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Missouri,Marlborough,38.57033,-90.33706
2017708687,"I-85, Newnan, Georgia",1984.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Georgia,Newnan,33.38067,-84.79966
2017703644,"Catfish Cabin Restaurant sign, Route 11, Birmingham, Alabama",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Alabama,Birmingham,33.52066,-86.80249
2017708058,"Egyptian Theater, Ogden, Utah",1991.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Utah,Ogden,41.223,-111.97383
2017708917,,1991.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Arizona,,,
2017709153,"Jolly Cholly, North Attleboro, Massachusetts",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Massachusetts,North Attleboro,,
2017707552,"G-J Service Station, Kremmling, Colorado",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Colorado,Kremmling,40.05887,-106.38892
2017705107,"Dragon gate detail, Golden Dragon Golf, North Myrtle Beach, South Carolina",1985.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,South Carolina,North Myrtle Beach,33.81601,-78.68002
2017703323,"Flag Theater, vertical, Hutchinson, Kansas",1996.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Kansas,Hutchinson,38.06084,-97.92977
2017703009,"Ocean Towers Condominium, Virginia Beach, Virginia",1985.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Virginia,Virginia Beach,36.85293,-75.97799
